reviewId,userName,userImage,content,rating,thumbsUpCount,en_content,Funtionality,User Experience,Performance,Customer Support,Subscription,Feature Request
ac8329a0-27c2-4c4e-b5eb-b9c73b5eed5d,Domenico Storace,https://play-lh.googleusercontent.com/a/AItbvmltJO9VjnRJvK7x8V8ESi8fNTUoKmbw4IqCAiCT=mo,Molto bello e completo.,5,0,Very nice and complete.,1,1,0,0,0,0
f22f037c-a236-4e22-b0cb-3218645a4a01,Andres Ardila,https://play-lh.googleusercontent.com/a/AItbvmmzl1t7T5uhPRBs0rkBcV9SzumgqdV_zs3K-3mb=mo,Excelente,5,0,Great,,,,,,
840e6190-1c17-4318-a090-86bf128008a5,valmir moraes,https://play-lh.googleusercontent.com/a/AItbvmlfSEmlmgmpWJhW3gr2oas0zQFD_vRPe-MYx5UQ=mo,"Realmente é uma decepção mas um apricativo que quer ser vendido para colocar o relogio papel de parede 5,99 vai criar vergonha na cara .",1,0,It really is a disappointment but an app that wants to be sold to put the clock wallpaper 5.99 will create shame in the face.,0,1,0,0,1,0
bac14f73-393f-43a2-b736-67de1d2a1a0d,Timur Jinjolava,https://play-lh.googleusercontent.com/a-/AFdZucrwLUdG5axi-jbrMwP4ZqtD734KUh0S7mhi97c3dQ,То что нужно,5,0,Exactly what is needed,1,1,0,0,0,0
ecae844b-81e1-429b-9191-1a943fadb4ae,Houari Benzineb,https://play-lh.googleusercontent.com/a-/AFdZucqzzQC0mP1zHbASzWuvkq9Xv7QdsuZeTjkgL31H,ما شاء الله ربي يبارك,3,0,"God willing, may God bless",,,,,,
da89c0b1-0c64-4fb4-a3f0-b05f23ba4765,fenestron100,https://play-lh.googleusercontent.com/a-/AFdZucpPdEYiVRbnqR80O5pSDyoeEIrn7jgkHYPQTFL2sg,"The clock was fine and suddenly no longer able to have a red clock or any other colour, the numbers are white and top left of the screen is a settings icon in the selected colour. Changing the colour only changes this and not the clock figures. How can i change it back. I've uninstalled it and reinstalled it.",5,26,"The clock was fine and suddenly no longer able to have a red clock or any other colour, the numbers are white and top left of the screen is a settings icon in the selected colour. Changing the colour only changes this and not the clock figures. How can i change it back. I've uninstalled it and reinstalled it.",1,0,0,1,0,0
ef627cad-784e-45f3-9817-82424a12219f,jmmsc,https://play-lh.googleusercontent.com/a-/AFdZucpteQVWrbau-qJWOXdMWrnHPtxxhgKf3qygOfgC-z0,Excelente visibilidad,5,0,excellent visibility,0,1,0,0,0,0
a5e570df-57d2-4657-804f-034bf7e20d8a,Kelvin Miranda Barbosa,https://play-lh.googleusercontent.com/a/AItbvmlhkzLaVcQCsQ3W77RakvkjgbQoBetCnyDhZYsG=mo,"Muito louco,adorei",5,0,"Very crazy, I loved it",1,1,0,0,0,0
1e65416d-035c-4acc-8796-5552492b3b51,Krzysztof Bujak,https://play-lh.googleusercontent.com/a-/AFdZucps0849a-5Xb4-Cu89lrmttcSyfAcnkSLNI9ONYEAg,BARDZO czytelny,5,0,VERY readable,0,1,0,0,0,0
25e13e1a-d0fd-42b1-b83a-84d72950796c,Darren James,https://play-lh.googleusercontent.com/a/AItbvmkSiiJjOVTOoHxw19v0dI9xkLQdP1u2oB87PTe5=mo,"Fantastic phone app , best night clock to have",5,0,"Fantastic phone app , best night clock to have",0,1,0,0,0,0
b192dbd0-a35a-4a1d-a246-81db0ae40458,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Seem to lose clock then go to play store to open and if I leave I can't get clicj back, seems like a glitch.",4,0,"Seem to lose clock then go to play store to open and if I leave I can't get clicj back, seems like a glitch.",0,1,0,1,0,0
dd56d330-8a70-4188-83ec-d7b8fb074946,Umiyati Tiay,https://play-lh.googleusercontent.com/a/AItbvmnNI7AqDLtZ4C9oU9ngvun0LN4fMfqiE5d8m6YH=mo,Aplikasi yg sangat bagus sy suka banget apk y,4,1,"Very good application, I really like your apk",0,1,0,0,0,0
6bb5a187-60fa-44a6-8ebc-ae1ed0b19482,Luciana Ribeiro,https://play-lh.googleusercontent.com/a-/AFdZucpmqI2vPVfyXHqd8bBP2OhS5y_kgFcNHICJi3yG,Coloquei nos meus smartphones antigos. Aplicativo muito bom.,5,0,I put it on my old smartphones. Very good app.,0,1,0,0,0,0
c98727a9-d34c-4017-a3b3-9529f1b21a03,Mabysu stagno,https://play-lh.googleusercontent.com/a/AItbvmmK_3d79PT7K18GIivg8YKCBCrSeuRClFrJWHiZ=mo,"Recien la instale, la estoy evaluando. Por ahora, muy buena. Saludos",5,0,"Just installed it, I'm evaluating it. For now, very good. Cheers",0,1,0,0,0,0
7805ec46-f03b-44cb-a2c2-9e7e9ee9cbe3,Sergio Ugalde,https://play-lh.googleusercontent.com/a-/AFdZucoQrhgQT0LvBRfiWWdlBpT07jospUgqzhEbdWVe,Excelente,5,0,Great,,,,,,
3cf62d6a-5522-4065-8416-1143422abed8,Leonardo Santana,https://play-lh.googleusercontent.com/a/AItbvmkVyhDXGoaealtOTd-a8WbmItopNRyJvINIQhY8=mo,Mil buena,5,0,thousand good,,,,,,
6b6c7972-9e2e-40ec-9d79-94025a633a7e,Deus Fiel,https://play-lh.googleusercontent.com/a/AItbvmnkfU0joh1J6c_svwrXAQTw9FTVtMllFnafUECW=mo,Ótimo 👍,5,0,great 👍,,,,,,
83d73b29-25f1-45c2-a62d-115426d110bb,محمد معین زارعی,https://play-lh.googleusercontent.com/a-/AFdZucoTMKiguum7WStZdaq4dBun0BLo1ZDHqj7My0sF,عالی اصلا حرف نداره,5,0,"Excellent, no words at all",1,1,0,0,0,0
6c604c31-89ec-4a5a-93d0-a85c50c98b42,taghi shakeri,https://play-lh.googleusercontent.com/a/AItbvmk9siif9WmcvMGWJ9R0vq6AyCdmMK2h9T0_voYt=mo,خوب,5,1,Good,,,,,,
b8ba0db1-cbed-4774-a30a-5bf8a6158819,Francesco Ungaro,https://play-lh.googleusercontent.com/a-/AFdZucqtuQ8qnRB7W0QhZbRvHe06h-dngUrKKSimF58nGw,Ok 👌,5,0,Ok 👌,,,,,,
d86c05a5-25bb-4e60-b9c9-0be892b9104f,Entesar Entesar,https://play-lh.googleusercontent.com/a/AItbvmkn-xXEP6UhZjdc2FUZwa7-703VIY8LTJ2s87yI=mo,اه شاشه ساعه رقم شكراً,5,0,"Ah, a screen of a number, thank you",,,,,,
ea0a97b6-c2b3-4464-9f06-89a327f0e850,María Santamaría,https://play-lh.googleusercontent.com/a-/AFdZucoz8dSnCiTuBwqZhJ9I0lOpkwYP2dKYp5J3qsxWAg,"After buying the the night mode add-on, this mode was not accessible anymore (greyed out). The developer refused to help. Don'buy add-ons. There is no assistance if something does not work.",1,0,"After buying the the night mode add-on, this mode was not accessible anymore (greyed out). The developer refused to help. Don'buy add-ons. There is no assistance if something does not work.",0,0,0,1,1,0
0753c56a-95cd-4c00-ac53-54d666666f31,German Brito,https://play-lh.googleusercontent.com/a/AItbvmkMUGc_r1rcG3eMJdz3R-8W9JZ6hUuxIQPPuFzx=mo,Muy bueno,5,0,Very good,,,,,,
6bdb49ef-2cc4-41d9-b345-40be05e8750f,junane rondganger,https://play-lh.googleusercontent.com/a-/AFdZucqI0kgqA1JHEv-aseupFShpBi4qGmDJlvnd92sjKA,Its user friendly and its huge and bright love it...,5,0,Its user friendly and its huge and bright love it...,1,1,0,0,0,0
757651bd-c83d-4ef8-95f9-e63ff943feb1,Ahmed انشاء قناه Ragab,https://play-lh.googleusercontent.com/a/AItbvmkTLYiSC0TzY4CEhwcCHN7PlU7JagE1DKN3C4RA=mo,ممتاز,5,0,Prominent,1,1,0,0,0,0
683fe3ba-0a9b-4546-84bd-5998cf0ced29,Cassio Braulino,https://play-lh.googleusercontent.com/a/AItbvmlUfFIkkja3cknZb92wQkrdL6dyG8P4m0C5Wd26=mo,Muito bom,4,0,Very good,,,,,,
395e6e3e-460e-48e6-95fc-70ba9044ee37,Juan jose Islas,https://play-lh.googleusercontent.com/a/AItbvmkAmnaXGFkJrOiTSKR3gw6fhhh0s2FgodGEUBXn=mo,"Buena aplicacion, solo que no supe como poner el reloj mientras este apagada la pantalla o como hacerle para poder tener activo el telefono mientras la pantalla esta apagada.",3,0,"Good application, I just didn't know how to set the clock while the screen is off or how to make it so that I can have the phone active while the screen is off.",1,0,0,1,0,0
71182414-b61f-48d9-84f0-9222e20445a6,Jesse Woo,https://play-lh.googleusercontent.com/a-/AFdZucpTyCa_KGXBahsCq5Tzr5Le-Z0H8n7z500ov5Ab,I use it to record scientific observations accurate to the second. Exceptional visibility with the large numbers.,5,0,I use it to record scientific observations accurate to the second. Exceptional visibility with the large numbers.,1,1,0,0,0,0
