reviewId,userName,userImage,content,rating,thumbsUpCount,Funtionality,User Experience,Performance,Customer Support,Subscription,Feature Request
216119c3-dcb0-437c-a5d1-6e5e5f4cb5d8,Ashok Rana,https://play-lh.googleusercontent.com/a-/AFdZucr-wqoLNv6qYpBq0b9zFDLAlwIW7GWJlNlLCHcr0Q,Good,5,0,,,,,,
f80dc94b-281c-4bde-98b3-d5659e313dea,Arshad Ali Shaik,https://play-lh.googleusercontent.com/a/AItbvmmhTsv9zPlEonXP5OWoPGtmw2l0IENC3gatUZ1s=mo,App is not being launched after purchasing for lifetime,1,0,0,0,1,1,1,0
de483bec-555f-43ce-a11f-fd9fd2d430bd,Vijay Shrimali,https://play-lh.googleusercontent.com/a/AItbvmmSpRcfZnHN6Hu2q8y2w9XPkmCOZxRuJrkO1oYO=mo,Excellent,5,0,,,,,,
7b65ce00-41bd-4f30-8a3e-33d67df55388,somnath hazra,https://play-lh.googleusercontent.com/a-/AFdZucpC-XTNkXVTwjOp6rwXwkEllcTbREEiMkuRF904,Good,5,0,,,,,,
7fe8e63a-2a83-4705-9ba6-bb64ebc1d116,dinesh kumar,https://play-lh.googleusercontent.com/a-/AFdZucpwWlWW9NntLy9cCT35IpnlVPW8iGgAG5Ua92dfBg,Paid for the app. Not even opening.,1,1,0,0,1,1,1,0
430d179d-6881-464f-93bb-95e94ba88388,Brij Mohan Prajapati,https://play-lh.googleusercontent.com/a-/AFdZucrBNsIhEfqDyWyA8TDHFohMJWhltfRF3odYEXeXZqo,Good👍,5,0,,,,,,
56cbf8eb-84de-417d-956c-bb9441895a99,Nagaraja B K,https://play-lh.googleusercontent.com/a-/AFdZucpY3PfeOPEd2DL6OdbkuPgtWH59xAzGFh4lSJXt_g,Lots of adds irritating.,3,0,0,1,0,0,0,0
2150288b-d09c-4450-8daa-fb71d84b4fb9,TINKU MEENA,https://play-lh.googleusercontent.com/a-/AFdZucrpMdxBwaqB8FpNuL75AGR69eEzn_QQznoor0DfNQ,Add+accurate not match,1,0,1,0,0,0,0,0
c16c729d-e4db-440f-aa54-8da8add1b4d2,Aditay Pareek,https://play-lh.googleusercontent.com/a-/AFdZucojX5MRFGuSO3EXkhW9KoWnBQ9hJU3rrNJM42UN,Very nice,5,0,,,,,,
cf815710-c869-42ba-bc16-307010c0fc9e,Raj Shah,https://play-lh.googleusercontent.com/a-/AFdZucp3lmLrviXaLYpcuQDkbGqlgakRrhuEy5YyIzyNVR8,It's Time to uninstall this app,1,0,0,1,0,0,0,0
531d0376-23b9-406f-a7af-cdb5056b8328,Rajneesh Rana,https://play-lh.googleusercontent.com/a/AItbvmnI8-i6OLNYtAk0FxFFRcf7jcs2M_QQTThAirlG=mo,Bad,1,0,,,,,,
f9e0f7c0-4fb4-46cc-a3cd-a3edba2fca9d,ranjeet kumar kushwaha,https://play-lh.googleusercontent.com/a/AItbvmnEFhjuuNEmCu7Y-gtAMZ1bQs9G28zYDBdSv-8N=mo,Perfect apps,5,0,,,,,,
